validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
True,"St. Patrick, Canonsburg",Church," 317 W Pike St, Canonsburg, PA 15317",https://romeroparish.org/,"Friday Feb 19 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM, Wednesday Feb 17 from 11:00 AM to 7:00 PM",,https://romeroparish.org/documents/2021/2/PDF%20Fish%20Fry%20Menu%202-12-21.pdf,See menu link,Fax: 724-746-1112,724-746-9778,,False,True,False,False,,True,,40.258009,-80.195076
True,All Saints Parish,Church,"11264 Route 97 North, Waterford, PA",http://www.allsaintsrcc.org/,"Friday Feb 19 from 4:30 PM to 7:00 PM, Friday Feb 26 from 4:30 PM to 7:00 PM, Friday Mar 5 from 4:30 PM to 7:00 PM, Friday Mar 12 from 4:30 PM to 7:00 PM, Friday Mar 19 from 4:30 PM to 7:00 PM, Friday Mar 26 from 4:30 PM to 7:00 PM",,http://www.allsaintsrcc.org/Lenten-Fish-Dinners-TAKE-OUT-ONLY-in-2021.html,"FRIED WHITEFISH AND FRENCH FRIES.

MORE INFORMATION COMING SOON!",,(814) 796-3023,allsaint@allsaintsrcc.org,False,True,,False,,True,,41.974787,-80.009111
False,"St. Malachy, Kennedy Township",Church,"343 Forest Grove Road, Kennedy Township, PA",https://www.archangelgabrielparish.org/,,,,No Fish Fry listed,,412-771-0848,,,,,,,False,,40.47763,-80.10313
True,West Newton Moose Lodge 31,Community Organization,"102 S Water St, West Newton, Pennsylvania 15089, United States",https://www.facebook.com/westnewtonmooselodge31,"Friday Feb 19 from 5:00 PM to 7:30 PM, Friday Feb 26 from 5:00 PM to 7:30 PM, Friday Mar 5 from 5:00 PM to 7:30 PM, Friday Mar 12 from 5:00 PM to 7:30 PM, Friday Mar 19 from 5:00 PM to 7:30 PM, Friday Mar 26 from 5:00 PM to 7:30 PM, Friday Apr 2 from 5:00 PM to 7:30 PM",,https://scontent-ort2-1.xx.fbcdn.net/v/t1.0-9/148525511_1681365258738445_2182981731310286336_o.jpg?_nc_cat=107&ccb=3&_nc_sid=8bfeb9&_nc_ohc=njyd9hgNz3YAX915Khi&_nc_ht=scontent-ort2-1.xx&oh=f34ad67df6c3be9d75d5773d78b39fbd&oe=60556C50,,,724-872-7264,,,True,,False,,True,,40.210123,-79.768056
True,Centerville American Legion Post 705,Veteran's Organization,"1101 Old National Pike, Fredericktown, PA 15333",https://www.facebook.com/CALPost705/,"Friday Feb 19 from 5:00 PM to 8:00 PM, Friday Feb 26 from 5:00 PM to 8:00 PM, Friday Mar 5 from 5:00 PM to 8:00 PM, Friday Mar 12 from 5:00 PM to 8:00 PM, Friday Mar 19 from 5:00 PM to 8:00 PM, Friday Mar 26 from 5:00 PM to 8:00 PM, Friday Apr 2 from 5:00 PM to 8:00 PM",,https://www.facebook.com/CALPost705/photos/a.592564260927816/1680303158820582/,See menu link,,724-632-9591,,False,True,False,False,,True,,40.047622,-79.987232
True,Fallowfield Township VFC,Fire Department,"1660 Pennsylvania Highway 481, Charleroi, Pennsylvania 15022, United States",https://www.facebook.com/Fallowfield-Fire-Company-1709768136013987,"Friday Apr 2 from 11:00 AM to 6:00 PM, Wednesday Feb 17 from 11:00 AM to 6:00 PM, Friday Mar 26 from 11:00 AM to 6:00 PM, Friday Mar 19 from 11:00 AM to 6:00 PM, Friday Mar 12 from 11:00 AM to 6:00 PM, Friday Mar 5 from 11:00 AM to 6:00 PM, Friday Feb 26 from 11:00 AM to 6:00 PM, Friday Feb 19 from 11:00 AM to 6:00 PM","Lent fish fry will begin this Wednesday 2/17 at 11am until 6pm and will be each Friday after that, through Good Friday. We will be offering take out, delivery, and eat in. Seating will be limited to follow guidelines. Prices have remained the same from 2020. We hope to see you all again this year!!",https://www.facebook.com/1709768136013987/photos/a.1709774552680012/2880897385567717/,,,724-483-8005,,,True,,True,,True,,40.137392,-79.950482
True,Riley's Pour House,Restaurant,"215 East Main Street, Carnegie, Pennsylvania 15106, United States",https://www.rileyspourhouse.com,"Wednesday Feb 17 from 11:00 AM to 10:00 PM, Friday Feb 19 from 11:00 AM to 11:00 PM, Friday Feb 26 from 11:00 AM to 11:00 PM, Friday Mar 5 from 11:00 AM to 11:00 PM, Friday Mar 12 from 11:00 AM to 11:00 PM, Friday Mar 19 from 11:00 AM to 11:00 PM, Friday Mar 26 from 11:00 AM to 11:00 PM, Friday Apr 2 from 11:00 AM to 11:00 PM",,https://www.rileyspourhouse.com/menu,"Fish and Chips, baked cod, and cod sandwich on the menu",,412.279.0770,,False,,True,True,,True,,40.408625,-80.085221
True,Larimer VFD,Fire Department,"1340 Brownstown Rd., Larimer, PA",https://www.facebook.com/larimervfd/,"Friday Apr 2 from 4:00 PM to 7:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Feb 19 from 4:00 PM to 7:00 PM",,https://www.facebook.com/larimervfd1/photos/a.1720742661584009/2996790147312581/,,,724-863-9809,,,True,,False,,True,,40.344486,-79.72572
True,"Holy Trinity, West Mifflin ",Church,"529 Grant Avenue Ext., West Mifflin, PA 15122-3830",,"Wednesday Feb 17 from 11:00 AM to 6:30 PM, Friday Feb 19 from 11:00 AM to 6:30 PM, Friday Feb 26 from 11:00 AM to 6:30 PM, Friday Mar 5 from 11:00 AM to 6:30 PM, Friday Mar 12 from 11:00 AM to 6:30 PM, Friday Mar 19 from 11:00 AM to 6:30 PM, Friday Mar 26 from 11:00 AM to 6:30 PM, Friday Apr 2 from 11:00 AM to 6:30 PM",,https://www.facebook.com/StMaxParish/photos/a.960051477357947/4192124357483960/,See menu link,Holy Trinity Church Social Hall,412-466-4695,,,True,False,True,,True,,40.370546,-79.86589
True,Holy Spirit (West Mifflin),Church,"2603 Old Elizabeth Road, West Mifflin, Pa 15122",https://triumphoftheholycrosspgh.org,"Friday Feb 19 from 3:00 PM to 7:00 PM, Friday Feb 26 from 3:00 PM to 7:00 PM, Friday Mar 5 from 3:00 PM to 7:00 PM, Friday Mar 12 from 3:00 PM to 7:00 PM, Friday Mar 19 from 3:00 PM to 7:00 PM, Friday Mar 26 from 3:00 PM to 7:00 PM, Friday Apr 2 from 3:00 PM to 7:00 PM",,https://d2y1pz2y630308.cloudfront.net/21966/documents/2021/2/Fish%20Fry%20flyer.pdf,See menu link,Take out only/curbside delivery; advance orders call 412-466-3444,412-466-3444,,,True,,,,True,,40.348065,-79.93331
True,Our Lady of the Miraculous Medal,Church,"300 Pike St, Meadow Lands, PA",https://miraculousmedalchurch.org/,"Wednesday Feb 17 from 11:00 AM to 7:00 PM, Friday Feb 19 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM",,https://romeroparish.org/documents/2021/2/PDF%20Fish%20Fry%20Menu%202-12-21.pdf,See menu link,,724-228-8575,fishfry@MiraculousMedalChurch.org,False,True,True,True,,True,,40.219197,-80.220646
True,Hanover Volunteer Fire Department Fish Fry,Fire Department,"9 Starck Drive, Burgettstown, PA 15021",http://hanovervfd45.com/,"Wednesday Feb 17 from 11:00 AM to 7:00 PM, Friday Feb 19 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM, Friday Apr 2 from 11:00 AM to 7:00 PM",,https://scontent.fagc1-2.fna.fbcdn.net/v/t1.0-9/151927757_2779770798948803_771858048485346043_n.jpg?_nc_cat=100&ccb=3&_nc_sid=8bfeb9&_nc_ohc=PMWR2-WHITIAX9nvVme&_nc_ht=scontent.fagc1-2.fna&oh=88ea76f456f01809b821f7170a9d4608&oe=6055BF31,,,724-729-3929,,,True,False,True,,True,,40.380792,-80.393425
True,Geeseytown Community Fire Company,Fire Department,"215 Mary Street, Hollidaysburg, Pennsylvania 16648, United States",https://www.facebook.com/Geeseytown-Community-Fire-Company-1531587100412091/,"Friday Feb 19 from 3:00 PM to 7:00 PM, Friday Feb 26 from 3:00 PM to 7:00 PM, Friday Mar 5 from 3:00 PM to 7:00 PM, Friday Mar 12 from 3:00 PM to 7:00 PM, Friday Mar 19 from 3:00 PM to 7:00 PM, Friday Mar 26 from 3:00 PM to 7:00 PM",,,"We are serving our usual menu:
Baked or Fried fish 
Baked Mac and cheese 
French Fries or Scalloped potatoes 
Stewed tomatoes or beets
Coleslaw 
Dinner roll 
Dessert 
$11.00 ",,(814) 695-8003,,,True,,False,,True,,40.450352,-78.345659
True,Connellsville Twp. VFD,Fire Department,"905 Fireman Street, Connellsville, Pennsylvania 15425, United States",https://www.station7ctvfd.com/,"Wednesday Feb 17 from 11:00 AM to 2:00 PM, Wednesday Feb 17 from 4:00 PM to 7:00 PM, Friday Feb 19 from 11:00 AM to 2:00 PM, Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Feb 26 from 11:00 AM to 2:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Mar 5 from 11:00 AM to 2:00 PM, Friday Mar 12 from 11:00 AM to 2:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 19 from 11:00 AM to 2:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 26 from 11:00 AM to 2:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM, Friday Apr 2 from 11:00 AM to 2:00 PM, Friday Apr 2 from 4:00 PM to 7:00 PM",,https://scontent.fagc1-2.fna.fbcdn.net/v/t1.0-9/152704472_4037614102923837_8924146321310394965_o.jpg?_nc_cat=106&ccb=3&_nc_sid=8bfeb9&_nc_ohc=_bzzGGyIGnsAX_8d8gg&_nc_ht=scontent.fagc1-2.fna&oh=c99ab89426edbb84889d95c64fd3233f&oe=6055FE54,,,724-628-0900,,False,True,,True,,True,,40.02847,-79.58451
True,St. Fidelis of Sigmaringen,Church,"125 Buttercup Road, Butler, Pennsylvania 16001, United States",https://www.butlerareacatholicparishes.org/,"Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM",,https://www.butlerareacatholicparishes.org/fish-fry,See menu link,Order in advance online from noon to 4pm on Fridays and choose a time (between 4 and 7pm) to pick up your order. Then pick up your dinner without getting out of your vehicle!/,724-355-6690,,,True,,False,,True,,40.847453,-79.971124
True,Rene's,Restaurant,"1030 Fifth Avenue, East McKeesport, PA",http://www.renesrestaurant.net/,"Wednesday Feb 17 from 11:00 AM to 10:00 PM, Friday Feb 19 from 11:00 AM to 10:00 PM, Friday Feb 26 from 11:00 AM to 10:00 PM, Friday Mar 5 from 11:00 AM to 10:00 PM, Friday Mar 12 from 11:00 AM to 10:00 PM, Friday Mar 19 from 11:00 AM to 10:00 PM, Friday Mar 26 from 11:00 AM to 10:00 PM, Friday Apr 2 from 11:00 AM to 10:00 PM",Lenten menu available Wednesdays and Fridays,http://www.renesrestaurant.net/?page_id=307,,,412-823-9544,,,True,True,True,,True,,40.383,-79.810268
True,Hills Restaurant,Restaurant,"107 Main St, New Eagle, PA 15067",https://www.hills-restaurant.com,"Wednesday Feb 17 from 7:00 AM to 7:30 PM, Friday Feb 19 from 7:00 AM to 8:00 PM, Friday Feb 26 from 7:00 AM to 7:30 PM, Friday Mar 5 from 7:00 AM to 8:00 PM, Friday Mar 12 from 7:00 AM to 7:30 PM, Friday Mar 19 from 7:00 AM to 8:00 PM, Friday Mar 26 from 7:00 AM to 7:30 PM, Friday Apr 2 from 7:00 AM to 8:00 PM",,https://direct.chownow.com/order/25741/locations/38062,,,724-258-5422,,False,,False,True,,True,,40.206987,-79.940977
True,Hookstown Volunteer Fire Department,Fire Department,"102 Silver Slipper Rd, Hookstown, Pennsylvania",https://www.facebook.com/hookstownvfd/,"Friday Feb 19 from 4:30 PM to 7:00 PM, Friday Feb 26 from 4:30 PM to 7:00 PM, Friday Mar 5 from 4:30 PM to 7:00 PM, Friday Mar 12 from 4:30 PM to 7:00 PM, Friday Mar 19 from 4:30 PM to 7:00 PM, Friday Mar 26 from 4:30 PM to 7:00 PM, Friday Apr 2 from 4:30 PM to 7:00 PM",,,No listed menu,,(724) 573-4111,,,True,,False,,True,,40.58616,-80.475548
True,St. Philip- Ascension Worship Site,Church,"114 Berry St., Pittsburgh, PA",https://www.saintphilipchurch.org,Wednesday Feb 17 from 4:00 PM to 6:00 PM,,https://www.saintphilipchurch.org/assets/AshWednesdayDinner_Feb17-2021.pdf,,,,,,True,,False,,True,,40.449117,-80.068625
True,Most Holy Name of Jesus,Church,"1515 Tinsbury Street, Pittsburgh, PA",https://pghshrines.org/,"Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM",,https://pghshrines.org/fishfry,"All Dinners are $12. A La Carte menu is available.
Choice of: fried or baked cod; 6 breaded jumbo shrimp; 2 crab cakes 
Choice of 2: french fries, homemade macaroni & cheese,  halushki, coleslaw, applesauce, stewed tomatoes, dessert
A La Carte menu includes:
jumbo fish sandwich
6 breaded shrimp
2 crab cakes
french fries
macaroni & cheese
coleslaw
dessert
applesauce
stewed tomatoes",Call to order beginning Fridays at noon: 412-231-2196. ,412-231-2196,,,True,,False,,True,,40.464242,-79.983391
True,Adamsburg VFD,Fire Department,"495 Edna Rd, Adamsburg, Pennsylvania 15611",https://www.facebook.com/AdamsburgVfd,"Friday Feb 19 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM, Friday Apr 2 from 11:00 AM to 7:00 PM",,https://scontent.fagc1-2.fna.fbcdn.net/v/t1.0-9/151467313_3667660139981427_5465488612209728574_n.png?_nc_cat=103&ccb=3&_nc_sid=730e14&_nc_ohc=xb_ByLV_VNsAX8JE2gJ&_nc_ht=scontent.fagc1-2.fna&oh=9c90099e4be9d7c1b867cff561acd8de&oe=60517B58,,, (724) 527-6250,Chief@Adamsburgpafire.org,True,True,False,True,,True,,40.307082,-79.655381
True,St. Alphonsus (Wexford),Church,"201 Church St., Wexford, Pa. 15090",https://www.saintaidanparish.org/,"Friday Feb 19 from 4:30 PM to 7:30 PM, Friday Feb 26 from 4:30 PM to 7:30 PM, Friday Mar 5 from 4:30 PM to 7:30 PM, Friday Mar 12 from 4:30 PM to 7:30 PM, Friday Mar 19 from 4:30 PM to 7:30 PM, Friday Mar 26 from 4:30 PM to 7:30 PM, Wednesday Feb 17 from 4:30 PM to 7:30 PM, Friday Apr 2 from 3:30 PM to 7:30 PM",,https://www.fish-fry.org/,See menu link,,(412) 585-3915 or (724) 931-0596,N/A,,True,,False,,True,,40.627681,-80.057339
True,Mandy's Pizza of Westview,Unsure / N/A,"512 Perry Highway, Pittsburgh, Pennsylvania 15229, United States",https://www.facebook.com/mandyspizza/,"Friday Apr 2 from 11:00 AM to 9:45 PM, Wednesday Feb 17 from 11:00 AM to 9:45 PM, Friday Mar 26 from 11:00 AM to 9:45 PM, Friday Mar 19 from 11:00 AM to 9:45 PM, Friday Mar 12 from 11:00 AM to 9:45 PM, Friday Mar 5 from 11:00 AM to 9:45 PM, Friday Feb 26 from 11:00 AM to 9:45 PM, Friday Feb 19 from 11:00 AM to 9:45 PM",,,,gluten free options,(412) 931-1120,,,True,,True,,True,,40.521955,-80.03397
True,"St. John the Baptist, Plum",Church,"418 Unity Center Road, Pittsburgh, Pennsylvania 15239, United States",https://holyfamilypgh.org/,"Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM, Friday Apr 2 from 4:00 PM to 7:00 PM",,,,,412-828-9846 ,,True,True,,,True,True,,40.487594,-79.776601
True,PJ's Deli,Restaurant,"Bower Hill at McLaughlin Run, Bridgeville, PA",http://www.pjbakery.com/#/,"Friday Feb 19 from 1:00 PM to 6:00 PM, Friday Feb 26 from 1:00 PM to 6:00 PM, Friday Mar 5 from 1:00 PM to 6:00 PM, Friday Mar 12 from 1:00 PM to 6:00 PM, Friday Mar 19 from 1:00 PM to 6:00 PM, Friday Mar 26 from 1:00 PM to 6:00 PM, Wednesday Feb 17 from 1:00 PM to 6:00 PM",,http://www.pjbakery.com/lenten-fish-fry.html,See menu link,,412-257-4944,,True,True,,,,True,,40.35834,-80.105278
True,Aroma Pizza,Restaurant,"1246 Lincoln Highway, Clinton, Pennsylvania 15026, United States",aroma.pizza,"Friday Apr 2 from 11:00 AM to 9:00 PM, Friday Mar 26 from 11:00 AM to 9:00 PM, Friday Mar 19 from 11:00 AM to 9:00 PM, Friday Mar 12 from 11:00 AM to 9:00 PM, Friday Mar 5 from 11:00 AM to 9:00 PM, Friday Feb 26 from 11:00 AM to 9:00 PM, Friday Feb 19 from 11:00 AM to 9:00 PM",,,,,724-695-3504,,,True,,True,,True,,40.488763,-80.29438
True,Rural Ridge Fire ,Fire Department,"135 Little Deer Creek Road, Rural Ridge, PA 15075",https://www.facebook.com/Rural-Ridge-Volunteer-Fire-Co-156352784403369/,"Friday Feb 19 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM, Friday Apr 2 from 11:00 AM to 7:00 PM",,,"
Fish Combo...................................... $11.00
(1- Sandwich with or without Cheese, Cole Slaw, and Fresh Cut French Fries)
NO SUBSTITUTIONS PLEASE

Fish Sandwich (With or without cheese).......................................	$8.00

Baked Fish.................................	$8.00

Baked Fish Dinner (includes rice and broccoli)..................................   $11.00 

Shrimp Basket (Includes 8 Pieces of Shrimp and Fresh Cut Fries).........$ 9.00

Shrimp (8 Pieces)..................	$7.00

Chicken Strip Basket (Includes 3 pieces of Chicken and Fresh Cut Fries).......	$8.00 

Chicken Strips (3 Pieces)............$ 6.00

Devil Crab.............................	$3.00

Haluski (Fried Cabbage and Noodles).................................	$4.00

Mac -n- Cheese  ................	$4.00

Fresh Cut French Fries............	$4.00

 Cole Slaw   ...........................	$3.00 

 Water or Pop .........................	$1.00",,724-265-4000,,False,True,,True,,True,,40.58562,-79.82866
True,Hiller Volunteer Fire Company,Fire Department,"911 1st Street, Hiller, Pennsylvania 15444, United States",https://www.facebook.com/hillervfc/,"Wednesday Feb 17 from 11:00 AM to 8:00 PM, Friday Feb 19 from 11:00 AM to 8:00 PM, Friday Feb 26 from 11:00 AM to 8:00 PM, Friday Mar 5 from 11:00 AM to 8:00 PM, Friday Mar 12 from 11:00 AM to 8:00 PM, Friday Mar 19 from 11:00 AM to 8:00 PM, Friday Mar 26 from 11:00 AM to 8:00 PM, Friday Apr 2 from 11:00 AM to 8:00 PM",,https://scontent.fagc1-2.fna.fbcdn.net/v/t1.0-9/151946234_4096551777023275_4766567406471560165_o.jpg?_nc_cat=101&ccb=3&_nc_sid=8bfeb9&_nc_ohc=NgqKr8zgiNQAX-F2W5I&_nc_ht=scontent.fagc1-2.fna&oh=ea233f84a4031a8c1b0a503b84e381f8&oe=605510D4,,,(724) 785-9793,,True,True,,True,,True,,40.010286,-79.902608
True,American Legion Post 712,Veteran's Organization,"650 Old Clairton Road, Pleasant Hills, Pennsylvania 15236, United States",http://www.alpost712pa.org/,,,,,ATM and free Wi-Fi available. ,(412) 653-1555,,,True,,,,True,,40.324625,-79.958014
True,Pub in the Park,Restaurant,"7034 Blackhawk Street, Pittsburgh, Pennsylvania 15218, United States",http://www.thepubinthepark.com/,"Friday Feb 19 from 11:00 AM to 11:00 PM, Friday Feb 26 from 11:00 AM to 11:00 PM, Friday Mar 5 from 11:00 AM to 11:00 PM, Friday Mar 12 from 11:00 AM to 11:00 PM, Friday Mar 19 from 11:00 AM to 11:00 PM, Friday Mar 26 from 11:00 AM to 11:00 PM, Friday Apr 2 from 11:00 AM to 11:00 PM",Special lent menu available on Fridays,http://www.thepubinthepark.com/uploads/1/1/3/4/113412921/lent2021.pdf,,,412-241-9242,,,True,True,True,,True,,40.421372,-79.897564
True,Original Oyster House,Restaurant,"20 Market Square, Pittsburgh, PA 15222",http://originaloysterhousepittsburgh.com/,"Friday Apr 2 from 11:00 AM to 7:00 PM, Wednesday Feb 17 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Feb 19 from 11:00 AM to 7:00 PM",,,,,412-566-7925,,,True,True,True,,True,,40.440974,-80.001995
